,Instruction,Title,Response
17,Minimal proxy contract that delegates calls to a logic contract for an NFT logic,"Proxy - ['NFTProxy', 'Upgradable']","use stylus_sdk::prelude::*;

sol_storage! {
    #[entrypoint]
    pub struct NFTProxy {
        logic: Address,
        owner: Address
    }
}

#[public]
impl NFTProxy {
    pub fn new(logic_addr: Address) -> Self {
        let mut instance = Self::default();
        instance.logic = logic_addr;
        instance.owner = msg::sender();
        instance
    }

    pub fn upgrade(&mut self, new_logic: Address) -> Result<(), String> {
        if msg::sender() != self.owner {
            return Err(""Only owner can upgrade"".into());
        }
        self.logic = new_logic;
        Ok(())
    }

    #[fallback]
    pub fn fallback(&self) {
        // delegate calls to logic
        // stylus_sdk::delegate_call(self.logic);
    }
}"
18,"A basic ""Hello Stylus"" contract tutorial that logs a greeting event",Tutorial - ['EventLogging'],"use stylus_sdk::prelude::*;

#[derive(Debug, Clone)]
pub struct Greeting {
    pub from: Address,
    pub message: String
}

sol_storage! {
    #[entrypoint]
    pub struct HelloStylus {
        greeting: String
    }
}

#[public]
impl HelloStylus {
    pub fn new() -> Self {
        let mut instance = Self::default();
        instance.greeting = ""Hello Stylus"".into();
        instance
    }

    pub fn say_hello(&self) {
        let event = Greeting {
            from: msg::sender(),
            message: self.greeting.clone()
        };
        evm::log(event);
    }
}"
19,A contract that manages a list of addresses allowed to call certain functions (a simple access control list),Utility - ['AccessControl'],"use stylus_sdk::prelude::*;

sol_storage! {
    #[entrypoint]
    pub struct AccessControl {
        admin: Address,
        allowed: mapping(Address => bool)
    }
}

#[public]
impl AccessControl {
    pub fn new() -> Self {
        let mut instance = Self::default();
        instance.admin = msg::sender();
        instance
    }

    pub fn add_allowed(&mut self, user: Address) -> Result<(), String> {
        if msg::sender() != self.admin {
            return Err(""Only admin can add allowed"".into());
        }
        self.allowed.setter(user).set(true);
        Ok(())
    }

    pub fn restricted_action(&self) -> Result<(), String> {
        if !self.allowed.get(msg::sender()) {
            return Err(""Caller not allowed"".into());
        }
        // do something restricted
        Ok(())
    }
}"
20,Chess contract variant that includes a function to forfeit the game,"Game - ['ChessGame', 'Forfeit']","use stylus_sdk::prelude::*;

sol_storage! {
    #[entrypoint]
    pub struct ChessGame {
        board: [u8; 64],
        player1: Address,
        player2: Address,
        current_player: Address,
        game_over: bool
    }
}

#[public]
impl ChessGame {
    pub fn new(p1: Address, p2: Address) -> Self {
        let mut instance = Self::default();
        instance.player1 = p1;
        instance.player2 = p2;
        instance.current_player = p1;
        instance.board = [0; 64];
        instance
    }

    pub fn move_piece(&mut self, from: usize, to: usize) -> Result<(), String> {
        if self.game_over {
            return Err(""Game already over"".into());
        }
        if msg::sender() != self.current_player {
            return Err(""Not your turn"".into());
        }
        // minimal check for valid move
        let piece = self.board[from];
        self.board[from] = 0;
        self.board[to] = piece;

        // switch player
        self.current_player = if self.current_player == self.player1 {
            self.player2
        } else {
            self.player1
        };

        Ok(())
    }

    pub fn forfeit(&mut self) -> Result<(), String> {
        if self.game_over {
            return Err(""Game is already over"".into());
        }
        if msg::sender() != self.player1 && msg::sender() != self.player2 {
            return Err(""Not a player"".into());
        }
        self.game_over = true;
        Ok(())
    }
}"
21,A contract that auctions NFTs in a sealed-bid format,"Auction - ['SealedBid', 'NFTAuction']","use stylus_sdk::prelude::*;

#[derive(Default)]
pub struct Bid {
    pub bidder: Address,
    pub amount: U256,
    pub revealed: bool
}

sol_storage! {
    #[entrypoint]
    pub struct SealedBidAuction {
        owner: Address,
        nft_address: Address,
        token_id: U256,
        bids: mapping(Address => Bid),
        ended: bool
    }
}

#[public]
impl SealedBidAuction {
    pub fn new(nft: Address, token_id: U256) -> Self {
        let mut instance = Self::default();
        instance.owner = msg::sender();
        instance.nft_address = nft;
        instance.token_id = token_id;
        instance
    }

    pub fn place_bid(&mut self, hidden_amount: U256) {
        // Bids are hidden, in reality you'd store a hash of the amount + secret.
        let b = Bid {
            bidder: msg::sender(),
            amount: hidden_amount,
            revealed: false
        };
        self.bids.setter(msg::sender()).set(b);
    }

    pub fn reveal_bid(&mut self, real_amount: U256) -> Result<(), String> {
        let mut b = self.bids.get(msg::sender());
        if b.bidder == Address::ZERO {
            return Err(""No bid found"".into());
        }
        b.revealed = true;
        b.amount = real_amount; // in a real contract you'd check the hash matches
        self.bids.setter(msg::sender()).set(b);
        Ok(())
    }

    pub fn end_auction(&mut self) -> Result<(), String> {
        if msg::sender() != self.owner {
            return Err(""Only owner can end"".into());
        }
        if self.ended {
            return Err(""Already ended"".into());
        }
        // find highest revealed bid
        let mut highest: Option<(Address, U256)> = None;
        // in reality, you'd iterate over all bidders.
        // stylus doesn't allow normal iteration, so you'd store bidder addresses or do external checks.
        // We'll skip details.
        self.ended = true;
        Ok(())
    }
}"
22,A contract that acts as a multi-signature wallet with 2-of-3 approval,"Wallet - ['MultiSig', '2of3']","use stylus_sdk::prelude::*;

sol_storage! {
    #[entrypoint]
    pub struct MultiSigWallet {
        owners: [Address; 3],
        approvals: mapping(u64 => u8),
        tx_count: u64
    }
}

#[public]
impl MultiSigWallet {
    pub fn new(o1: Address, o2: Address, o3: Address) -> Self {
        let mut instance = Self::default();
        instance.owners = [o1, o2, o3];
        instance
    }

    pub fn submit_transaction(&mut self) -> u64 {
        let tx_id = self.tx_count;
        self.tx_count += 1;
        tx_id
    }

    pub fn approve(&mut self, tx_id: u64) -> Result<(), String> {
        let sender = msg::sender();
        if !self.is_owner(sender) {
            return Err(""Not an owner"".into());
        }
        let current_approvals = self.approvals.get(tx_id);
        self.approvals.setter(tx_id).set(current_approvals + 1);
        Ok(())
    }

    pub fn execute(&self, tx_id: u64) -> Result<(), String> {
        if self.approvals.get(tx_id) < 2 {
            return Err(""Not enough approvals"".into());
        }
        // Execute some transaction
        Ok(())
    }

    fn is_owner(&self, addr: Address) -> bool {
        self.owners.contains(&addr)
    }
}"
23,A simple vending machine that sells a single item for a fixed price in an ERC20 token,"Commerce - ['VendingMachine', 'ERC20Integration']","use stylus_sdk::prelude::*;

sol_storage! {
    #[entrypoint]
    pub struct SimpleVending {
        owner: Address,
        price: U256,
        token_address: Address,
        stock: u32
    }
}

#[public]
impl SimpleVending {
    pub fn new(token: Address, price: U256, initial_stock: u32) -> Self {
        let mut instance = Self::default();
        instance.owner = msg::sender();
        instance.price = price;
        instance.token_address = token;
        instance.stock = initial_stock;
        instance
    }

    pub fn buy(&mut self, quantity: u32) -> Result<(), String> {
        if self.stock < quantity {
            return Err(""Insufficient stock"".into());
        }
        let total_cost = self.price * U256::from(quantity);
        // Call token contract: transferFrom(msg::sender(), self, total_cost)
        self.stock -= quantity;
        Ok(())
    }
}"
24,A contract that tracks a list of whitelisted addresses for an NFT mint function,NFT - ['Whitelist'],"use stylus_sdk::prelude::*;

pub struct WhitelistNFTParams;
impl Erc721Params for WhitelistNFTParams {
    const NAME: &'static str = ""WhitelistNFT"";
    const SYMBOL: &'static str = ""WNFT"";
    fn token_uri(_id: U256) -> String {
        ""https://whitelist.example/"".into()
    }
}

sol_storage! {
    #[entrypoint]
    pub struct WhitelistNFT {
        #[borrow]
        Erc721<WhitelistNFTParams> erc721;
        whitelisted: mapping(Address => bool)
    }
}

#[public]
#[inherit(Erc721<WhitelistNFTParams>)]
impl WhitelistNFT {
    pub fn add_to_whitelist(&mut self, user: Address) {
        // Only contract deployer can call this, if desired
        self.whitelisted.setter(user).set(true);
    }

    pub fn mint_if_whitelisted(&mut self) -> Result<(), Erc721Error> {
        if !self.whitelisted.get(msg::sender()) {
            return Err(Erc721Error::Custom(""Not whitelisted"".into()));
        }
        self.erc721.mint(msg::sender())
    }
}"
25,A basic proxy contract that can be used for upgrading ERC20 logic with an initialize function,"Proxy - ['Initialize', 'Upgradable']","use stylus_sdk::prelude::*;

sol_storage! {
    #[entrypoint]
    pub struct ERC20Proxy {
        logic_contract: Address,
        owner: Address,
        initialized: bool
    }
}

#[public]
impl ERC20Proxy {
    pub fn init(&mut self, logic: Address) -> Result<(), String> {
        if self.initialized {
            return Err(""Already initialized"".into());
        }
        self.logic_contract = logic;
        self.owner = msg::sender();
        self.initialized = true;
        Ok(())
    }

    pub fn upgrade(&mut self, new_logic: Address) -> Result<(), String> {
        if msg::sender() != self.owner {
            return Err(""Only owner"".into());
        }
        self.logic_contract = new_logic;
        Ok(())
    }

    #[fallback]
    pub fn fallback(&self) {
        // stylus_sdk::delegate_call(self.logic_contract);
    }
}"
26,An on-chain puzzle game that requires solving a simple math puzzle to claim a reward,"Game - ['Puzzle', 'Reward']","use stylus_sdk::prelude::*;

sol_storage! {
    #[entrypoint]
    pub struct PuzzleGame {
        reward_claimed: bool,
        solution: u32,
        reward_amount: U256,
        token_address: Address
    }
}

#[public]
impl PuzzleGame {
    pub fn new(sol: u32, token_addr: Address, amount: U256) -> Self {
        let mut instance = Self::default();
        instance.solution = sol;
        instance.token_address = token_addr;
        instance.reward_amount = amount;
        instance.reward_claimed = false;
        instance
    }

    pub fn solve_puzzle(&mut self, guess: u32) -> Result<(), String> {
        if self.reward_claimed {
            return Err(""Reward already claimed"".into());
        }
        if guess == self.solution {
            // transfer reward to solver
            // e.g., ERC20(self.token_address).transfer(msg::sender(), self.reward_amount)
            self.reward_claimed = true;
            Ok(())
        } else {
            Err(""Wrong solution"".into())
        }
    }
}"
27,A basic ownership-based contract with a function that can only be called by the owner,Utility - ['Ownership'],"use stylus_sdk::prelude::*;

sol_storage! {
    #[entrypoint]
    pub struct OwnedContract {
        owner: Address,
        secret_data: u64
    }
}

#[public]
impl OwnedContract {
    pub fn new() -> Self {
        let mut instance = Self::default();
        instance.owner = msg::sender();
        instance
    }

    pub fn update_secret(&mut self, new_value: u64) -> Result<(), String> {
        if msg::sender() != self.owner {
            return Err(""Only owner can update secret"".into());
        }
        self.secret_data = new_value;
        Ok(())
    }

    pub fn read_secret(&self) -> u64 {
        self.secret_data
    }
}"
28,A dynamic registry contract that maps addresses to a string label,Utility - ['Registry'],"use stylus_sdk::prelude::*;

sol_storage! {
    #[entrypoint]
    pub struct AddressRegistry {
        registry: mapping(Address => String)
    }
}

#[public]
impl AddressRegistry {
    pub fn register(&mut self, label: String) {
        let sender = msg::sender();
        self.registry.setter(sender).set(label);
    }

    pub fn lookup(&self, addr: Address) -> Option<String> {
        self.registry.get(addr)
    }
}"
29,ERC721 contract that requires a certain ERC20 token balance to mint,NFT - ['TokenGating'],"use stylus_sdk::prelude::*;

pub struct TokenGateParams;
impl Erc721Params for TokenGateParams {
    const NAME: &'static str = ""TokenGatedNFT"";
    const SYMBOL: &'static str = ""TG-NFT"";
    fn token_uri(_id: U256) -> String {
        ""https://tokengate.example/metadata"".into()
    }
}

sol_storage! {
    #[entrypoint]
    pub struct TokenGatedNFT {
        #[borrow]
        Erc721<TokenGateParams> erc721;
        required_token_balance: U256,
        erc20_address: Address
    }
}

#[public]
#[inherit(Erc721<TokenGateParams>)]
impl TokenGatedNFT {
    pub fn new(token_addr: Address, required_balance: U256) -> Self {
        let mut instance = Self::default();
        instance.erc20_address = token_addr;
        instance.required_token_balance = required_balance;
        instance
    }

    pub fn mint_if_eligible(&mut self) -> Result<(), Erc721Error> {
        // Check ERC20 balance of msg.sender
        // e.g., if balanceOf(msg.sender) >= self.required_token_balance
        self.erc721.mint(msg::sender())
    }
}"
30,A time-based puzzle that only accepts solutions within a set timeframe,Game - ['TimeLimit'],"use stylus_sdk::prelude::*;

sol_storage! {
    #[entrypoint]
    pub struct TimedPuzzle {
        solution: u32,
        deadline: u64,
        solved: bool
    }
}

#[public]
impl TimedPuzzle {
    pub fn new(sol: u32, until: u64) -> Self {
        let mut instance = Self::default();
        instance.solution = sol;
        instance.deadline = until;
        instance.solved = false;
        instance
    }

    pub fn solve(&mut self, guess: u32) -> Result<(), String> {
        if self.solved {
            return Err(""Already solved"".into());
        }
        let now = block_timestamp();
        if now > self.deadline {
            return Err(""Puzzle expired"".into());
        }
        if guess == self.solution {
            self.solved = true;
            Ok(())
        } else {
            Err(""Incorrect"".into())
        }
    }
}"
31,"ERC20-based membership contract, where holding tokens grants membership status",ERC20 - ['Membership'],"use stylus_sdk::prelude::*;

pub struct MemberTokenParams;
impl Erc20Params for MemberTokenParams {
    const NAME: &'static str = ""MemberToken"";
    const SYMBOL: &'static str = ""MBR"";
    const DECIMALS: u8 = 18;
}

sol_storage! {
    #[entrypoint]
    pub struct MemberToken {
        #[borrow]
        Erc20<MemberTokenParams> erc20;
        membership_threshold: U256
    }
}

#[public]
#[inherit(Erc20<MemberTokenParams>)]
impl MemberToken {
    pub fn new(threshold: U256) -> Self {
        let mut instance = Self::default();
        instance.membership_threshold = threshold;
        instance
    }

    pub fn is_member(&self, addr: Address) -> bool {
        let bal = self.erc20.balance_of(addr);
        bal >= self.membership_threshold
    }
}"
32,NFT that has a custom on-transfer hook to record transfer events in an internal list,NFT - ['CustomHooks'],"use stylus_sdk::prelude::*;

pub struct HookNFTParams;
impl Erc721Params for HookNFTParams {
    const NAME: &'static str = ""HookNFT"";
    const SYMBOL: &'static str = ""HNFT"";
    fn token_uri(_id: U256) -> String {
        ""https://hooknft.example/"".into()
    }
}

#[derive(Debug, Clone)]
pub struct TransferRecord {
    pub from: Address,
    pub to: Address,
    pub token_id: U256
}

sol_storage! {
    #[entrypoint]
    pub struct HookNFT {
        #[borrow]
        Erc721<HookNFTParams> erc721;
        transfers: Vec<TransferRecord>
    }
}

#[public]
#[inherit(Erc721<HookNFTParams>)]
impl HookNFT {
    pub fn on_transfer(&mut self, from: Address, to: Address, token_id: U256) {
        let record = TransferRecord {
            from,
            to,
            token_id
        };
        self.transfers.push(record);
    }

    pub fn get_transfer_history(&self) -> Vec<TransferRecord> {
        self.transfers.clone()
    }
}"
33,A lottery contract that selects a random winner among ticket holders (pseudo-randomness only),"Game - ['Lottery', 'PseudoRandom']","use stylus_sdk::prelude::*;

sol_storage! {
    #[entrypoint]
    pub struct Lottery {
        tickets: Vec<Address>,
        winner: Address,
        finished: bool
    }
}

#[public]
impl Lottery {
    pub fn buy_ticket(&mut self) {
        self.tickets.push(msg::sender());
    }

    pub fn draw(&mut self) -> Result<Address, String> {
        if self.finished {
            return Err(""Already drawn"".into());
        }
        if self.tickets.is_empty() {
            return Err(""No tickets"".into());
        }
        // Pseudo-random approach
        let random_index = block_number() as usize % self.tickets.len();
        let selected = self.tickets[random_index];
        self.winner = selected;
        self.finished = true;
        Ok(selected)
    }
}"
34,"A contract that allows the owner to switch the logic for calculating a tax rate in a function, enabling dynamic behavior",Utility - ['DynamicLogic'],"use stylus_sdk::prelude::*;

sol_storage! {
    #[entrypoint]
    pub struct DynamicTax {
        owner: Address,
        tax_logic: Address // Another contract that calculates the tax
    }
}

#[public]
impl DynamicTax {
    pub fn new() -> Self {
        let mut instance = Self::default();
        instance.owner = msg::sender();
        instance
    }

    pub fn set_tax_logic(&mut self, logic: Address) -> Result<(), String> {
        if msg::sender() != self.owner {
            return Err(""Only owner"".into());
        }
        self.tax_logic = logic;
        Ok(())
    }

    pub fn get_tax(&self, amount: U256) -> U256 {
        // pseudo-code: delegate call to self.tax_logic to calculate the tax
        // stylus_sdk::delegate_call(...)
        // for now just return a placeholder
        amount / U256::from(10)
    }
}"
